"source_path","seed_path","classification","action","reason","source_sha256","seed_sha256"
".gitattributes",".gitattributes","SOURCE_OK","INCLUDE_UNCHANGED","Canonical source/test/config file required for development or verification.","27e147d5ea36e6b8ccc6cc3e924148a982c2e8e64e1643c3c42419991c3d4379","27e147d5ea36e6b8ccc6cc3e924148a982c2e8e64e1643c3c42419991c3d4379"
".github/workflows/quality.yml",".github/workflows/quality.yml","SOURCE_OK","INCLUDE_UNCHANGED","Canonical source/test/config file required for development or verification.","945cd7c2efe93308d18b3a58a46b8c9becbacdc740d34ce57f2e12907ad57da2","945cd7c2efe93308d18b3a58a46b8c9becbacdc740d34ce57f2e12907ad57da2"
".gitignore",".gitignore","SANITIZE_REQUIRED","INCLUDE_SANITIZED","Portable seed copy removes fixed machine path or hardens local-data ignore policy; canonical source remains unchanged.","c8d97bdbd354d1557ef93730947121c351b966b35b88a74a4fd89ca42ce66940","86495b45c8a81029e9f491da91e0e04246dcf63e01a6b9b7c9c9ef4f7be74036"
"AGENTS.md","AGENTS.md","SOURCE_OK","INCLUDE_UNCHANGED","Canonical source/test/config file required for development or verification.","8495e6aac6823eedffcefbdddb0745f23c336f76168a55810da63a46a5110516","8495e6aac6823eedffcefbdddb0745f23c336f76168a55810da63a46a5110516"
"README.md","README.md","DOCUMENTATION_ONLY","REWRITE_PUBLIC_BASELINE","Public baseline narrative replaces the historical seed README while retaining the canonical source provenance hash.","1fdb68970e04fdb7720f9a5753da9d99e203cd792b224a6b34f85019e3aee402","9b438e58dd97827d8f70b7d8f741b66246f1a55ea554a8c3a21e590668a8b50c"
"certification/d11s/inputs/history-g27.json","certification/d11s/inputs/history-g27.json","SOURCE_OK","INCLUDE_UNCHANGED","Tracked deterministic certification input; values are synthetic/configuration references, not runtime database or credentials.","1b4147a40432b9afc4acc45157c67235dcbd25ee4adbc91602bbcf1f8943f110","1b4147a40432b9afc4acc45157c67235dcbd25ee4adbc91602bbcf1f8943f110"
"certification/d11s/inputs/horizon-30.json","certification/d11s/inputs/horizon-30.json","SOURCE_OK","INCLUDE_UNCHANGED","Tracked deterministic certification input; values are synthetic/configuration references, not runtime database or credentials.","8cd5d7778aacdb05da5761ab613cfbbe5d082ab5c3be5ca6c43c53f782463864","8cd5d7778aacdb05da5761ab613cfbbe5d082ab5c3be5ca6c43c53f782463864"
"certification/d11s/inputs/horizon-90.json","certification/d11s/inputs/horizon-90.json","SOURCE_OK","INCLUDE_UNCHANGED","Tracked deterministic certification input; values are synthetic/configuration references, not runtime database or credentials.","5f715e34130acabd053a829770a3b8e031d3dd8e1dd8cf21701b196b4d190ef1","5f715e34130acabd053a829770a3b8e031d3dd8e1dd8cf21701b196b4d190ef1"
"certification/d11s/inputs/model-swap-left.json","certification/d11s/inputs/model-swap-left.json","SOURCE_OK","INCLUDE_UNCHANGED","Tracked deterministic certification input; values are synthetic/configuration references, not runtime database or credentials.","5b1d6e3ddf9ab66abddeacb869d8e632444ee8c233d292b10335e1a3437789fd","5b1d6e3ddf9ab66abddeacb869d8e632444ee8c233d292b10335e1a3437789fd"
"certification/d11s/inputs/model-swap-right.json","certification/d11s/inputs/model-swap-right.json","SOURCE_OK","INCLUDE_UNCHANGED","Tracked deterministic certification input; values are synthetic/configuration references, not runtime database or credentials.","e9e5bd342b768fda76434aafef4870d1a6e03d712a0468b5c73b45251b7acc0b","e9e5bd342b768fda76434aafef4870d1a6e03d712a0468b5c73b45251b7acc0b"
